,Number of Comments,Number of Like,Caption,Post URL
0,0,22,"UN MOMENTO DE ORO🏅🥳
Este #DiaDelPadre festejalo de una manera especial compartiendo unos riquisimos @ferrerorocherargentina 😍🌰
Regalale una sonrisa! 😁
#365 y @pedidosya te ayudan a festejar desde tu casa 🛵🏡
#FelizDiaDelPadre #QuedateEnCasa",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/103302535_578267486451798_3700314223267473775_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=CoUQti3M8_IAX_MpEHx&oh=5d154d399c25bb3f82d9d6db69b344b4&oe=5F14EA0A
1,0,23,"DERRETITE DE PLACER 🍫🍫🔥
Ese momento en el que por fin dejamos que el chocolate 🍫 entre a nuestra boca 🤤 #Tentate .
No esperes más y dejate tentar!
#365 llega a tu casa con @pedidosya 🛵🏡 #QuedateEnCasa",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/103370905_3281188955233068_188197185742118501_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=-QFrs4rU8EUAX8Fm97e&oh=c19c2b2f903cbfd97569a9a095614cb8&oe=5F16832B
2,1,21,"SURFIEMOS LA OLA DE SABOOORRRRRRRRRR 🌊🍪🍫 Nada mejor que acompañar tus meriendas con unas riquisimas 🍪 con 🥛 #Merienda365 
Hace que tus meriendas tengan ese sabor extra 💯 
Y vos ¿Ya merendaste? ☕️
¡Tentate! Con @pedidosya cumplimos tus antojos sin que salgas de casa 🏡🛵.
#QuedateEnCasa #MeriendaPerfecta",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/101560503_285616429234894_5306999881107538598_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=8qMTP3BvYCEAX8ZViSY&oh=51d18d33f303142b3298b2572f886552&oe=5F144E80
3,0,29,"SENTIMIENTOO CHOMP 🍫🍫🍨
La felicidad se compone de pequeños bombones de alegría💫😋Regalate una sonrisa, regalate #Chomp 💯 
#Tentate, #QuedateEnCasa, @pedidosya y @365kioscosargentinos te lo llevan 🏡🛵
#UniteA365",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/101411152_716159055889443_3542799018942368732_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=kx5qr_wDvh0AX8uj_DM&oh=2590ae4719a05710bcd49a71683e4227&oe=5F14633E
4,1,37,"Si ellos se tentaron... ¡VOS TAMBIEN PODES! 🤤🍫🍬🍭
Disfrutá de eso que tanto te gusta @nutellaar 😍💯
#Tentate , #365 llega a tu casa con @pedidosya para cumplir tus antojos 🏡🛵 #QuedateEnCasa",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/101651898_134971991510171_5540098706354410660_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=jEwFggafftgAX-WZ-ts&oh=697fdd96551e158b4d0985f8bf36fbf0&oe=5F17974E
5,5,54,"😍 ¿Qué haces si te despertas con este bombón 🌰 al lado ? .
#Tentate, #365y @PedidosYa te lo llevan a tu casa 🏡🛵!",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/101351796_246751869753212_5973226778624566393_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=AZqh3JRrgpUAX8wVwOU&oh=1c1667dd71ae5b5e258e7eeed7c1107c&oe=5F17845C
6,0,24,"REGALATE ALEGRIAAA 🍫🍨😁
No hay nada mejor para acompañar tu día que unos riquísimos bombones #Chomp ☀️💯
#365 te lo lleva a tu casa con @pedidosya 🏡🛵
¡Seguinos y enterate de todas nuestras promociones!
#QuedateEnCasa #365EnCasa",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/101043827_1629786927186251_3603447721649568634_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Z_fGQnJ5_bkAX_WqUWX&oh=5ac6a847530c12b7d51f77de2416e2fd&oe=5F1533F2
7,0,26,"SALE TORRE MILKA 🍪🍪🍫🍫
Las mejores meriendas son con @milka_argentina . La torre de sabor que estas necesitando 🤤💯 #MeriendaEnCasa
¡Tentate y disfruta! #365 y @pedidosya te llevan tu #MeriendaPerfecta a casa 🏡🛵
#QuedateEnCasa #365EnCasa",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/101058673_1175203369484428_5049390785307185909_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=QVQMG9CYGF8AX9h8CQm&oh=3a3e2ab95106bb0863769a6bc5daec57&oe=5F16F4DA
8,0,49,"MOMENTO DULCE 🍫🍫😍😍
Endulzá tus antojos con ese chocolate que tanto te gusta #Shot #Toblerone 🤤🤤
¡Tentate sin culpa! 
#365 y @pedidosya te lo llevan a tu casa 🏡🛵
¿Cuál es tu favorito? 👇🏼👇🏼 .
#QuedateEnCasa",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/97575187_3506640516066577_3831059242381440275_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=r73qsysAIiMAX8syiss&oh=939d9f13b4a46498f1fbc49458b4cbae&oe=5F155F16
9,1,58,"BOMBA FERREROOO! 🍫💥🍫💥
La explosion de sabor que estas necesitando @ferrerorochearargentina 💯😍 #PermitidoFerrero
¡Dejate tentar! #365 y @pedidosya cumplen tus antojos sin que salgas de casa 🏡🛵
#QuedateEnCasa #Tentate #Permitido365",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/97225830_148245350075369_4050220251131232876_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=9zh3yqnxgIcAX_GmSgr&oh=8da3ef0e217d98007232b8188b0a6b0b&oe=5F145607
