,Number of Comments,Number of Like,Caption,Post URL
0,191,23665,"Arrebatao dando vuelta en la jeepeta 🍁🎧
Buzo By : @joupimakeup",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/103866341_384623025838928_8034830981370360664_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=Khq21Ur-cFgAX-R3Rp1&oh=04ccc02268717d52d922ddaeec0704e7&oe=5F16E4D6
1,115,14051,"Así noma’
Feliz de haber hecho bien las cosas y que todo se acomode 
Bendecido desde que empecé 🙏",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/101928672_624955974895743_2631551346241089595_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=L9Ib3Bl4b2cAX-Y81_T&oh=c069560d174ee8f75c832cf1145a43be&oe=5F14B8A8
2,126,12400,.. 🍂 ❄️ Necesito una estufa urgente que me cago de frío 🥶😅,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/79288393_270341387420323_3144863968301973783_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=lUWDJVL6FQ4AX_IEYja&oh=2f17202018ba1661cff155b912a25c65&oe=5F1689C9
3,114,14011,"Estamos bien 🙂
PD: la ultima foto .. cuando ves a ... (Un ovni , me quedé así 🤯)",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/101051028_3300849199959297_1150553848988568432_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=uBhImWslEbMAX_Xqpep&oh=18c94f4075d550f2a8901dff9c322434&oe=5F13DD2C
4,181,16339,"4 Millones con @kodigo en la primera beatbox session de muchas 🙌
Y me enteré que ahora van a salir todos mis temas 🙏
Hoy se festeja ! 🥂
Gracias @urbanliveflow y @audiotechnicaar",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/101478022_587401218820093_1718898371493958367_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=SveY8p1mzdgAX9HZEk3&oh=302e03b1666310a6cda788d4e51e56e8&oe=5F172A66
5,184,18545,"Estás tirando facha y te enteras que sale el instrumental de la #BeatboxSession2. 
Este viernes disponible en Spotify y Youtube.
Quiero ver y escuchar todas sus barras con esta instrumental.",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/98132830_243872493385271_7712748251911201200_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=2avLDJiV_CUAX9xWmlY&oh=f8c61e3579b6e3a740847d0c748e27c1&oe=5F1557E3
6,223,24451,Elijan una de las fotos y pónganle el titulo ustedes 👀,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/95956678_3618009118225939_8273957433349878305_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=RXodzphuiucAX8XLp_f&oh=5164049efddc561ed30847e9ae946a3b&oe=5F1513D2
7,323,16102,"CEMENTERY BEAT ⚰️⚰️
Como todos lo hacen agudo yo lo hice en grave para que puedan rapearlo 🤯
Ta para tirar este beat en algún compe si o si 🥵
O en una próxima beatbox session 👀",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/95281875_527047977961493_2683378043319846936_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Q2thOlYAUPMAX8I2WN8&oh=02e86b62b58b58cb854bd862c356e32b&oe=5EEE82E0
8,180,13907,Todo venia bien hasta que llegas a la tercera foto te preguntas que me pasaba ... y después llegas a la cuarta ves que estoy tirando facha (inevitablemente ) y seguís hasta la quinta y... AAAAH A QUIEN SE IMAGINAN AHÍ ENFRENTE MÍO? O A QUIEN QUISIERAN AHÍ? O A QUIEN LE DA EL AGUANTE PARA ESTARLO? SE VIENE EL VOL3 !!! 🤯🤯🤯🥵🥵🥵🧨🧨,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/95629571_1160424190969721_8671706981799159524_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=gBBFftt9GJ0AX-kOvuF&oh=00a925589907671e4698e76a11f27b39&oe=5F15D92F
9,181,7161,"Killer Beat - Smiley 
Modo beatbox activado 🧨
Qué mejor improvisar algo arriba de este beat con esta lluvia 🤯
No perdamos la esencia artística por la cuarentena , mantengámosla viva! 
Como en los viejos tiempos cuando no se podía ir a la plaza por la lluvia ☔️ Arriba ese ánimo y este martes de cielo gris ☀️
Gracias @joupimakeup por este make up totalmente idoooooo ♥️",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/94722298_285837992435083_16646106491317487_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=adajbgwXh9wAX9ZbVK2&oh=5624351f04faa5a546dfed366c1b3ec1&oe=5EEEBDF7
