,Number of Comments,Number of Like,Caption,Post URL
0,6,264,"#ACTIVO ⚡️ - @iacho 🎤👑
¡YA DISPONIBLE! GRACIAS 🙏🏼 a todxs por el apoyo que nos están dando. Arriba ese viernes! 🧨
Mándennos de donde lo están escuchando!
#ACTIVO",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/104211989_195081915074717_2168720041915691665_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=IeEIiZhuZcQAX-ASr-F&oh=c8fb4dcb050f23a5cf4edc49b3494416&oe=5EEE7129
1,3,223,"MAÑANA MAÑANA #ACTIVO 🤯🔥
No se dan una idea de lo que se viene ⚡️
Link en bio para suscribirse 👈🏼",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/102809644_571329636860010_3762589812522689468_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=kiMz5mWK0CIAX8J6UZ1&oh=5d679d6e672031451513275f92119f8d&oe=5F1677CA
2,3,140,"No falta nada para sacar este hitazo con mi bro @iacho 🤯👑 Gracias por sumarte! 🙏🏼
2 DIAS! Para que explotemos esta cuarentena. Se viene #Activo 🔥
LINK EN BIO para suscribirse!",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/103362764_2841309169311377_4324910509129515357_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=JkzLL8QQDNcAX9TVSeq&oh=753a1e5c1cb7f40e7d298e1d90d721d7&oe=5F1455A4
3,4,103,"Tamo activo el VIP esta comprado 🔥
En 3 días rompemos con #Activo ⚡️
Gracias por el apoyo que estan dando, tamo activo 💥",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/102997166_2613090178958269_7755438168928356769_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=fAhzWRNsJ0MAX93ThUm&oh=fe12cc1717a6a0daeb04540b564ea118&oe=5EEE4775
4,4,212,"Ella quiere que nos comamos como animales 🦁⚡️
En 4 dias se estrena #Activo junto al bro @iacho 👑 
Se viene una 💣 para levantar esta cuarentena 💯 Quien mas esta igual de manija?
#4DIAS",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/102696636_589192111718786_5891346887654850102_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=tytiF9FwSgMAX-_dZPg&oh=9c2769059d27d4b3335b6c75843a62ef&oe=5F178536
5,6,138,"AHORA SI! Se viene esta nueva 💣 con la colaboracion de un grande @iacho 👑Gracias por sumarte!🙏🏼🔥
Y gracias a todos por el apoyo que están dando. El 12 explotamos todo con #Activo ⚡️⚡️",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/101959194_111084137145187_3209676754247890258_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=FNpaDh-4JN4AX_-3Q3q&oh=ec122e05e3e286d0ef763f26fc4e759c&oe=5F168775
6,12,149,"Un adelanto de lo nuevo que se viene #Activo 🔥🤯
No se pierdan este 12/6 el lanzamiento. Mañana voy a estar dandoles una sorpresa 🤫 
Estamos todos en el ViP ⚡️",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/102364277_3188563251205844_1484140029224737575_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=QU5J9ZFeOqMAX-MNVxJ&oh=659fb4623ac9bfe847aacf950050eacd&oe=5EEE8167
7,13,238,"12-06-2020 🤯💣 #ACTIVO 
Gracias a todos por el apoyo que estan dando🙏🏼 Se viene un hitazo con.....🤭🔥 Ya se dan una quien es el otro artista? 👇🏼",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/101635347_570173203502886_7026902579653786618_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=0bCvfaa8xo4AX_Lu-V5&oh=721eff7f809ad87f9ee5ba2ff67cde68&oe=5F1632B2
8,20,219,"_
Un adelanto de lo nuevo que se viene 🔥🤫
En unos días sale lanzamiento nuevo con un ft que es una 💣🤯 Quien será? 🤔
Estén atentos, voy a ir sacando toda la info. Tamo todo en el VIP #Activo 🚀🚀",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/101674492_2556285241294272_626864729067068845_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=74DF4y92dtwAX-zmxTQ&oh=3e34aef54c9d5d94a12266e86c70ce64&oe=5F15503A
9,3,209,"Se que te gusta hacer todo lo prohibido 🔥🚫
Se que A TI TE GUSTA BAILAR 💘⚡️
DISPONIBLE EN @spotify 
LINK EN BIO 👈🏼",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/96359047_536989280520259_4117912584645994138_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=7f2ubIjkICsAX-HTV0g&oh=06210ae84511486d4429fee12a982430&oe=5F152A55
