,Number of Comments,Number of Like,Caption,Post URL
0,37,2677,🌹,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/102701999_998162133920311_5995293584023895115_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=-i-LJUIAYe4AX_LFEgZ&oh=3761bb40ed7a9a10be4f01adef5a7592&oe=5F154136
1,39,1048,[],https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/101549487_539391706740388_3759662908502925249_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=ryVrk4QudNwAX-WoVOz&oh=636f348a6e46fbca545e63a4dfec95c6&oe=5F1479DF
2,9,187,"Gracias a todos por el apoyo en estos tiempos 🙏🏼
Los invito a formar parte de esta nueva etapa 💯• __#TatueroStudio ✍🏼
⚠️ AGENDANDO TURNOS ⚠️
•
•
•
#TatuateEnTatuero",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/100505504_252646362644766_1747664116704025145_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=3cM5DC_UhpMAX-Yg86C&oh=9ee33e05ed5b04a75fcab17bd5e83597&oe=5EEE5671
3,20,646,[],https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/94976224_274485823571003_2361621475069172594_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=m1MiLFz51SEAX9IKVNf&oh=fba3c1defa76561813f0c053945d3f17&oe=5F160099
4,16,1729,De cuando la rutina era legal ¿quien extraña mucho trabajar?  @giamaradona,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/94715602_3176771402420827_497211790414649863_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=LU-U3Y01XGcAX8ZqxWe&oh=fe521ec266a13de7111fd604344817d8&oe=5F1665FE
5,82,1590,🎹 Lápiz y Lescano 💯,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/93345831_241210150590439_8269088230004363330_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=MHz-sumEaMIAX_3QL24&oh=001aff16071d768a195c14cef2cae287&oe=5F13B9CE
6,16,2895,✈️ @maria_becerra22 ®️,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/92324738_698751014031743_101768802604662157_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=8mV6TlDreKYAX8EOjiH&oh=1c991ae4a76bb9ce508a87864cae22fd&oe=5F14FA31
7,49,3281,🔸Con el fenómeno @daniosvaldobv,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/92436611_547308079517096_9060691935517410306_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=1wWaGImrKWQAX8tU0Uf&oh=a4a548a691de520a33a429f766261f4d&oe=5F13C43D
8,12,1217,[],https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/91740407_591790658086948_3560791074234880606_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=DBCMqc968T4AX9wtiDC&oh=13de6835a21b7a99384c6a0bf932d75c&oe=5F14A5E2
9,17,1798,"🔶Creo que si existiese un Homero simpson en este planeta , ya estaríamos a salvos. (Esta foto es del cajón de los recuerdos)",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/91600215_121606309473931_1060240607118110918_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=YdQ4z1ZXpRMAX_twQ57&oh=3bf6846189f8290d2cb35d96f04ffc52&oe=5F14D139
10,21,2755,Nada es tan nuestro como lo que dejamos en libertad para que se vaya y no se va.,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/91535946_557555644879869_4564665292956588543_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=yItpN6qCj5QAX9snk7G&oh=445edcbb76a0f631fabacc30d9545cab&oe=5F1684FF
11,4169,3605,"🏠𝑸𝑼𝑬𝑫𝑨𝑻𝑬 𝑬𝑵 𝑪𝑨𝑺𝑨 y gánate un TATUAJE hecho por mí valorado en $30.000!
.
.
1🔸Seguí la cuenta @nico_tatuero .
.
.
2🔶Dale “like” a esta imagen y etiqueta tres amigos en los comentarios. .
.
🦠Duplica tus chances dándole repost en tu historia a esta imagen utilizando el hashtag #quedateencasa #nico_tatuero .
.
🦠El ganador será elegido al azar el día que se termine la cuarentena.
.
🦠Mientras más participen más oportunidad tienen de ganar! Suerte!
.
*El tatuaje será diseñado y realizado según el valor establecido y el criterio de Nico tatuero
*Debes ser mayor de 18 años para participar.
*Ciertas restricciones aplican.",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/91773788_159766195491430_2223441352947018932_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=c5PXOW3cju0AX-Q44nh&oh=f45165fd0e33ba00b6f2da2a32a819db&oe=5F1647E5
