,Number of Comments,Number of Like,Caption,Post URL
0,0,15,"👑 Messi 🇦🇷 #Color
@leomessi •
•
#TatueroEstudio #TatuateEnTatuero",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/100894118_269943611043206_7955374367099055009_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=dIJpesMVpbYAX8mNqvo&oh=13b9ab87c80f4078a6f2d818d25273c1&oe=5F13F0F9
1,0,11,"__⚙️Trabajos en #Color🗡
Turnos disponibles 📩👈🏼
•
•
#TatuateEnTatuero #TatueroEstudio",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/100877692_141070357521505_8020209175553168715_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=4cHObudOyNsAX-Z0tKV&oh=df5121aabb337f58da06afd5eefc0ccf&oe=5F1647BB
2,2,18,"___Wiz Khalifa 👑 #Color
@wizkhalifa .
•
•
#TatuateEnTatuero #TatueroEstudio",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/100088357_267197321352993_4007221805076875078_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=62q87i_9r0IAX9kG5bB&oh=f1ee701268b34a56a6885e2ccfc860de&oe=5F1547E0
3,0,10,"__Mascotas 🐶 •
•
#TatuateEnTatuero #TatueroEstudio",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/100667855_240293437232683_4313766371527262560_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=MxUNZtSAjUUAX9R1qi9&oh=8fd2b4993aa0a9c854c936003e962b39&oe=5F147A69
4,0,16,"__animales en #Grises 🦅
🐶 para su padre @djkelo777 👑
•
⚠️AGENDANDO TURNOS ⚠️
•
#TatuateEnTatuero #TatueroEstudio",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/99439499_163034211867963_5521305621603811648_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=A9hCq9BwVwEAX9lluc4&oh=622a132c923ba9ec61c57d38d5513017&oe=5F175EF8
5,0,21,"_🦁🦁 #Grises •
•
#TatuateEnTatuero #TatueroEstudio",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/100495890_106047564380878_5403313488868879972_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=wC96Llrmu-4AX9WuNyn&oh=0114d53d77ab73c4a4af35d0808de7b4&oe=5F171014
6,0,17,"___ matare a ambos...a menos que pasen por el bucle juntos 🤹‍♂️🚲 #Simpsons •
•
#TatuateEnTatuero #TatueroEstudio",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/101069684_157882215748826_1162104541625596549_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=VOhc6QFKGYQAX9cgcg_&oh=b5fdc19f6210872b94a4dd97a5b338cd&oe=5F1656C8
7,0,41,"✍🏼 La vida plasmada en dibujo #Simpsons 💯
Homero Simpson ataca...digo, el #HombrePie 🦸‍♂️🥧 •
TURNOS DISPONIBLES 📩👈🏼
•
#QuedateEnCada #TatueroEstudio",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/100945047_545162256148433_411738831736509837_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=ho34exY6u-wAX8r8arY&oh=b27db9bc8f16a68f907d3f07949b52dd&oe=5F1406C8
8,0,9,"______ Bart y Lisa ®️
¿Que dibujo animado té vas a tatuar vos?💁🏻‍♂️ ✍🏼 #Simpsons
•
#TatuateEnTatuero #TatueroEstudio",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/100833831_965726317215393_1429290697535100855_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=AVUQt_qI4PUAX89YSXF&oh=4072704e950bb2e68a652a341f950d04&oe=5F142A7E
9,0,12,"__Dani Stone 🎸⚽️
Con el fenómeno de @daniosvaldobv 💯
•
•
#TatuateEnTatuero #TatueroEstudio",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/100929082_110204527222040_168969575396565493_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=U0_Qi9UuFfkAX-XSZf5&oh=ec0e419d84dde6010b2393589ddd366b&oe=5EEE8165
10,0,12,"✈️ Volando #High con @maria_becerra22 🌕
•
•
#TatuateEnTatuero #TatueroEstudio",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/100869296_246186363319344_7192121815932685560_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=ZcwSEZkM_18AX-gAXrw&oh=62112583b4b2f1b20dca8de9e14b5e79&oe=5EEE2D3F
11,0,8,"👁 Los buenos con los buenos 👉🏼
@djkelo777 👑 •
•
#TatuateEnTatuero #TatueroEstudio #1",https://scontent-eze1-1.cdninstagram.com/v/t51.2885-15/e35/100625189_279452789898311_8102185212791293337_n.jpg?_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=WPm6W2EeX6IAX_zF0U6&oh=d7eac5a247caf026052861977bf86799&oe=5EEE7B4A
